A000083,A000130,A000160,B000129,B000227,B000418,B000508,B000562,B000818,B001184,C000016,C000051,C000062,C000065,C000145,C000152,C000227,C000298,C000357,C000576,C000601,C000647,C000973,D000035,D000095,D000148,D000377,D000405,D000509,F000045,F000068,F000398,G000023,G000127,G000157,G000165,G000313,G000326,G000396,H000029,H000169,H000243,H000377,H000577,H000590,H000643,H000654,H000999,I000027,J000231,J000237,K000099,K000353,L000327,M000095,M000567,M000593,M000777,M000818,M000954,M000969,P000010,P000042,P000095,P000188,P000228,P000271,P000382,P000486,P000547,P000561,Q000006,R000062,S000039,S000091,S000346,S000382,S000761,S000793,S000922,S000932,T000116,T000432,V000021,V000091,V000099,V000116,W000111,W000164,W000175,W000366,W000594,W000667,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Nay,,Nay,Nay,Not Voting,Yea,Nay,Not Voting,,Not Voting,,Nay,Not Voting,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,1892-07-13,0,,unknown,hr7520,,,,unknown
Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Not Voting,,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,1892-07-13,0,,unknown,hr7520,,,,unknown
Not Voting,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Nay,Nay,Yea,Not Voting,Nay,,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,1892-07-13,0,,unknown,hr7520,,,,unknown
Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,,Not Voting,,Yea,Yea,Nay,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,1892-07-13,0,,unknown,hr7520,,,,unknown
Nay,Yea,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,Yea,,Nay,,Not Voting,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,1892-07-14,0,,unknown,hr7520,,,,unknown
Not Voting,Yea,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,,Nay,,Not Voting,Yea,Not Voting,Not Voting,Yea,,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,1892-07-14,0,,unknown,hr7520,,,,unknown
Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,1892-07-14,0,,unknown,hr7520,,,,unknown
Not Voting,Yea,Nay,,Nay,Yea,Nay,Yea,Not Voting,Not Voting,,Nay,,Not Voting,Yea,Not Voting,Not Voting,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,1892-07-14,0,,unknown,hr7520,,,,unknown
Not Voting,Yea,Yea,,Nay,Yea,Nay,Yea,Not Voting,Not Voting,,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Yea,,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,1892-07-14,0,,unknown,hr7520,,,,unknown
Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,,Nay,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,1892-07-15,0,,unknown,hr9040,,,,unknown
Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Not Voting,Nay,,Nay,,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,1892-07-15,0,,unknown,,,,,unknown
Yea,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,,Nay,,Yea,Nay,Yea,Not Voting,Not Voting,,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,1892-07-18,0,,unknown,,,,,unknown
Yea,Nay,Nay,,Yea,Not Voting,Nay,Not Voting,Yea,Nay,,Yea,,Yea,Nay,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,1892-07-18,0,,unknown,s842,,,,unknown
Yea,Nay,Nay,,Yea,Not Voting,Yea,Not Voting,Yea,Nay,,Nay,,Yea,Nay,Yea,Not Voting,Nay,,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,1892-07-18,0,,unknown,,,,,unknown
Yea,Nay,Nay,,Yea,Not Voting,Nay,Not Voting,Yea,Nay,,Nay,,Not Voting,Nay,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,1892-07-18,0,,unknown,,,,,unknown
Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,1892-07-19,0,,unknown,hr7845,,,,unknown
Not Voting,Yea,Nay,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,,Not Voting,Nay,Yea,Not Voting,Nay,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,1892-07-27,0,,unknown,s2626,,,,unknown
Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,,Yea,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,1892-07-28,0,,unknown,hr7845,,,,unknown
Not Voting,Nay,Not Voting,,Nay,Nay,Yea,Yea,Not Voting,Nay,,Nay,,Yea,Nay,Yea,Nay,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,1892-12-15,0,,unknown,,,,,unknown
Yea,Nay,Not Voting,,Nay,Nay,Yea,Yea,Yea,Not Voting,,Nay,,Not Voting,Not Voting,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,1892-12-20,0,,unknown,s2626,,,,unknown
Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,Yea,,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,1893-01-04,0,,unknown,hr7825,,,,unknown
Nay,Not Voting,Nay,,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,1893-01-10,0,,unknown,s2707,,,,unknown
Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,,Nay,Not Voting,Not Voting,Not Voting,Nay,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,1893-01-10,0,,unknown,s2707,,,,unknown
Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,Yea,,Yea,Not Voting,Not Voting,Not Voting,Yea,,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,1893-01-10,0,,unknown,s2707,,,,unknown
Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,1893-01-10,0,,unknown,s2707,,,,unknown
Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Nay,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,1893-01-10,0,,unknown,hr7845,,,,unknown
Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,,Nay,,Yea,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,1893-01-13,0,,unknown,hr7845,,,,unknown
Not Voting,Not Voting,Nay,,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,,Nay,,Yea,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,1893-01-13,0,,unknown,hr7845,,,,unknown
Not Voting,Not Voting,Nay,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,,Not Voting,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,1893-01-13,0,,unknown,s88,,,,unknown
