B000345,B000398,B000433,B000503,B000903,B001005,C000044,C000282,C000482,C000496,C001023,E000281,F000284,F000373,G000264,G000509,H000494,H000593,J000194,K000006,K000125,K000207,K000217,K000287,L000232,L000338,M000096,M000492,M000898,M000989,N000010,P000402,P000436,P000510,P000519,R000285,R000297,R000344,R000502,S000334,S000411,S000594,S000689,S000744,S001116,T000032,T000284,T000300,T000450,W000017,W000238,W000376,W000475,W000770,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,Not Voting,Nay,Not Voting,Yea,,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,1834-06-24,0,,unknown,,,,,
Not Voting,Not Voting,Nay,Not Voting,Yea,,Nay,Nay,Nay,Nay,,Yea,Yea,Nay,,Nay,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,1834-06-24,0,,unknown,,,,,
Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,1834-06-24,0,,unknown,,,,,
Not Voting,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,,Nay,Not Voting,Nay,,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,1834-06-25,0,,unknown,hr18,,,,
Not Voting,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,,Yea,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,1834-06-25,0,,unknown,,,,,
Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,,Nay,Yea,,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,1834-06-25,0,,unknown,,,,,
Not Voting,Nay,Nay,Yea,Nay,,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,,Nay,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Yea,,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,1834-06-25,0,,unknown,s115,,,,
Not Voting,Not Voting,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Nay,,Nay,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,1834-06-26,0,,unknown,hr81,,,,
Not Voting,Yea,Nay,Yea,Not Voting,,Yea,Yea,Nay,Nay,,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,1834-06-26,0,,unknown,s6,,,,
Not Voting,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Not Voting,Nay,,Nay,Not Voting,Not Voting,,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,1834-06-26,0,,unknown,s82,,,,
Not Voting,Nay,Not Voting,Nay,Nay,,Nay,Yea,Yea,Yea,,Yea,Not Voting,Yea,,Nay,Yea,Nay,,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,1834-06-26,0,,unknown,s203,,,,
Not Voting,Not Voting,Yea,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,,Yea,Yea,Not Voting,,Yea,Yea,Yea,,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,,Nay,Yea,,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,1834-06-26,0,,unknown,s147,,,,
Not Voting,Yea,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Nay,Yea,,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,1834-06-27,0,,unknown,,,,,
Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,1834-06-27,0,,unknown,,,,,
Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Not Voting,Nay,Nay,,Nay,,Nay,,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,1834-06-27,0,,unknown,,,,,
Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,1834-06-27,0,,unknown,,,,,
Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,,Yea,,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1834-06-28,0,,unknown,hr31,,,,
Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,,Yea,,Yea,,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,1834-06-28,0,,unknown,hr24,,,,
Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,,Yea,,Not Voting,,Not Voting,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,1834-06-28,0,,unknown,hr24,,,,
Not Voting,Not Voting,Yea,Yea,Nay,,Yea,Nay,Yea,Nay,,Nay,,Not Voting,,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,1834-06-28,0,,unknown,hr24,,,,
Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Nay,Yea,Nay,,Yea,,Not Voting,,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Nay,Yea,,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,1834-06-28,0,,unknown,hr24,,,,
Not Voting,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Not Voting,,Nay,,Not Voting,,Nay,Nay,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,1834-06-28,0,,unknown,hr14,,,,
Not Voting,Yea,Nay,Yea,Not Voting,,Nay,Nay,Nay,Not Voting,,Not Voting,,Nay,,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,1834-06-30,0,,unknown,,,,,
Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Nay,Not Voting,Nay,Not Voting,,Not Voting,,Nay,,Yea,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,1834-06-30,0,,unknown,,,,,
Not Voting,Not Voting,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,,Not Voting,,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,1834-06-30,0,,unknown,,,,,
Not Voting,Not Voting,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,,Not Voting,,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,1834-06-30,0,,unknown,,,,,
Not Voting,Yea,Nay,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,,Not Voting,,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,1834-06-30,0,,unknown,,,,,
Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Nay,Not Voting,,Not Voting,,Nay,,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,1834-06-30,0,,unknown,,,,,
Not Voting,Yea,Nay,Yea,Not Voting,,Yea,Nay,Nay,Not Voting,,Not Voting,,Nay,,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,1834-06-30,0,,unknown,,,,,
Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Yea,Yea,Not Voting,,Yea,,Yea,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,,Nay,1834-06-30,0,,unknown,,,,,
Not Voting,Nay,Nay,Yea,Not Voting,,Nay,Not Voting,Yea,Not Voting,,Yea,,Yea,,Nay,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,,Not Voting,1834-06-30,0,,unknown,hr96,,,,
Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,,Nay,,Nay,,Yea,Nay,Yea,,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,,Nay,Nay,,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,,Nay,1834-06-30,0,,unknown,hr15,,,,
Not Voting,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,Yea,Not Voting,,Yea,,Yea,,Yea,Yea,Nay,,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,,Yea,1834-06-30,0,,unknown,hr15,,,,
Not Voting,Yea,Nay,Yea,Not Voting,,Nay,Nay,Nay,Not Voting,,Nay,,Nay,,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,,Not Voting,Yea,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,,Yea,1834-06-30,0,,unknown,,,,,
Not Voting,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Not Voting,,Not Voting,,Nay,,Not Voting,Yea,Yea,,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,,Yea,1834-06-30,0,,unknown,,,,,
Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,Nay,1834-01-28,0,,unknown,,,,,
Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,,Yea,Nay,,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,,Nay,1835-01-02,0,,unknown,s16,,,,
Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,,Yea,Yea,,Nay,Yea,Yea,Not Voting,,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,,Nay,1835-01-02,0,,unknown,s54,,,,
Yea,Nay,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Not Voting,Yea,,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Nay,,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,1835-01-06,0,,unknown,,,,,
Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,,Yea,Yea,,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,1835-01-07,0,,unknown,s54,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1835-01-14,0,,unknown,,,,,
Nay,Yea,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,,Nay,Yea,,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,1835-01-15,0,,unknown,,,,,
Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,,Not Voting,Nay,,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,,Nay,1835-01-16,0,,unknown,s51,,,,
Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,,Not Voting,Yea,,Yea,Not Voting,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,1835-01-16,0,,unknown,s51,,,,
Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,,Yea,Yea,Nay,Yea,,Yea,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Nay,,Nay,Yea,Yea,Yea,,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,1835-01-19,0,,unknown,s55,,,,
Nay,Yea,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,1835-01-20,0,,unknown,,,,,
Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Yea,,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,1835-01-20,0,,unknown,s55,,,,
Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Nay,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Nay,,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,,Nay,1835-01-23,0,,unknown,s96,,,,
Yea,Nay,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,,Nay,Yea,Yea,Yea,,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,1835-01-28,0,,unknown,s128,,,,
Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,,Nay,1835-01-28,0,,unknown,s5,,,,
Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,,Yea,Yea,Yea,Not Voting,,Yea,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,,Yea,Nay,,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,1835-02-02,0,,unknown,,,,,
Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Not Voting,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,,Nay,Yea,,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,1835-02-02,0,,unknown,,,,,
Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,,Nay,1835-02-03,0,,unknown,s5,,,,
Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,,Yea,Nay,,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,,Nay,1835-02-03,0,,unknown,s96,,,,
Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,,Yea,Yea,,Nay,Yea,Yea,Not Voting,,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,,Yea,1835-02-05,0,,unknown,,,,,
Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,,Not Voting,Not Voting,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,,Nay,1835-02-07,0,,unknown,s128,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,1835-02-07,0,,unknown,s128,,,,
Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,,Not Voting,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,1835-02-07,0,,unknown,s128,,,,
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1835-02-07,0,,unknown,s128,,,,
