A000083,A000160,B000289,B000418,B000508,B000524,B000686,B000936,B001184,C000051,C000062,C000065,C000267,C000343,C000576,C000601,C000647,C000678,C000973,D000148,D000405,E000056,E000229,E000262,F000002,F000037,F000398,G000127,G000165,G000326,G000396,H000029,H000141,H000243,H000263,H000377,H000428,H000654,I000012,J000014,J000214,J000231,J000237,K000099,L000403,M000067,M000095,M000265,M000570,M000593,M000740,M000760,M000818,M000819,M000954,M000969,P000044,P000151,P000345,P000382,P000389,P000561,R000062,R000241,S000003,S000072,S000091,S000262,S000346,S000741,S000793,T000116,V000021,V000067,V000091,V000116,W000111,W000429,W000486,W000577,W000594,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,1887-01-20,0,,unknown,,,,,
Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,1887-01-20,0,,unknown,,,,,
Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Nay,,Not Voting,Nay,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,1887-01-21,0,,unknown,,,,,
Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,,Nay,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,1887-01-24,0,,unknown,,,,,
Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,1887-01-24,0,,unknown,,,,,
Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,1887-01-24,0,,unknown,s3173,,,,
Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,1887-01-24,0,,unknown,s3173,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,1887-01-24,0,,unknown,s3173,,,,
Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Nay,Not Voting,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,1887-01-25,0,,unknown,s372,,,,
Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,,Nay,Yea,Not Voting,Nay,Nay,,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,1887-01-25,0,,unknown,sjres5,,,,
Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,,Nay,Not Voting,Not Voting,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,1887-01-26,0,,unknown,,,,,
Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,1887-01-26,0,,unknown,,,,,
Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,,Nay,Nay,,Not Voting,Yea,Nay,Yea,,Nay,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,1887-01-26,0,,unknown,,,,,
Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,,Yea,Yea,,Not Voting,Nay,Yea,Nay,,Yea,Yea,Not Voting,Yea,Nay,,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,1887-01-26,0,,unknown,,,,,
Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,Not Voting,Nay,,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,1887-01-29,0,,unknown,s2578,,,,
Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,1887-01-29,0,,unknown,s2436,,,,
Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Nay,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,1887-01-29,0,,unknown,s2436,,,,
Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,1887-01-31,0,,unknown,hr10072,,,,
Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,1887-02-02,0,,unknown,hr10203,,,,
Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,,Not Voting,Nay,,Not Voting,Nay,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,1887-02-02,0,,unknown,hr10072,,,,
Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,,Yea,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,1887-02-02,0,,unknown,,,,,
Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,1887-02-02,0,,unknown,,,,,
Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,1887-02-02,0,,unknown,,,,,
Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Yea,,Not Voting,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Nay,,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,1887-02-03,0,,unknown,,,,,
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,1887-02-04,0,,unknown,s995,,,,
Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Nay,,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,1887-02-04,0,,unknown,s2578,,,,
Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,,Nay,Yea,Not Voting,Not Voting,Yea,,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,1887-02-04,0,,unknown,s2578,,,,
Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Nay,Not Voting,Nay,Not Voting,,Nay,Yea,Not Voting,Nay,Not Voting,,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,1887-02-04,0,,unknown,s2578,,,,
Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1887-02-04,0,,unknown,s2578,,,,
Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1887-02-04,0,,unknown,s2578,,,,
Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Not Voting,,Not Voting,Nay,Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,1887-02-04,0,,unknown,s2578,,,,
Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,1887-02-04,0,,unknown,s2578,,,,
Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,1887-02-04,0,,unknown,s2578,,,,
Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Nay,Yea,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1887-02-04,0,,unknown,s2578,,,,
Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,,Nay,Not Voting,,Not Voting,Nay,Yea,Not Voting,,Nay,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,1887-02-04,0,,unknown,s2578,,,,
