A000319,B000252,B000470,B000553,B000634,B000774,B000873,B000895,B000972,B001196,C000066,C000133,C000139,C000769,C000812,C000988,C001008,D000009,D000233,D000345,D000560,E000044,E000066,E000206,F000084,F000092,F000096,F000200,F000354,G000131,G000141,G000201,G000232,G000254,G000288,G000340,G000425,H000031,H000227,H000259,H000265,H000362,H000446,H000868,J000140,J000210,J000257,K000098,K000161,K000216,L000004,L000005,L000012,L000241,M000281,M000499,M000521,M000547,M000563,M000583,M000621,M000670,M001028,N000023,N000132,N000139,N000176,O000035,O000140,P000219,P000317,P000360,P000372,R000020,R000059,R000114,R000118,R000332,R000347,S000006,S000113,S000337,S000369,S000380,S000415,S000530,S000644,S000730,S000791,S000826,S000857,S000906,S001094,T000353,T000456,U000013,W000012,W000097,W000104,W000164,W000203,W000276,W000330,W000499,W000561,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,,Nay,,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Nay,Nay,Nay,1926-04-12,0,,unknown,sres194,,,,
Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,Nay,,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,1926-04-12,0,,unknown,,,,,
Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1926-04-14,0,,unknown,hr8132,,,,
Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Not Voting,,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Nay,,Not Voting,Nay,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,1926-04-16,0,,unknown,hr9795,,,,
Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Nay,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Not Voting,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,,Not Voting,Not Voting,Nay,,Yea,Not Voting,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,1926-04-16,0,,unknown,hr6559,,,,
Not Voting,Not Voting,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,,Not Voting,Nay,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Not Voting,Not Voting,,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,1926-04-19,0,,unknown,hr6559,,,,
Nay,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,Nay,Nay,1926-04-21,0,,unknown,hr6773,,,,
Nay,Nay,Nay,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,1926-04-21,0,,unknown,hr6773,,,,
Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,,Yea,Not Voting,Nay,,Nay,Nay,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,Yea,Yea,1926-04-21,0,,unknown,hr6773,,,,
Nay,Nay,Nay,Not Voting,Yea,Yea,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,1926-04-23,0,,unknown,hr6773,,,,
Nay,Nay,Nay,Yea,Yea,Not Voting,,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,Yea,,Nay,Yea,Not Voting,Nay,Nay,,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,1926-04-26,0,,unknown,hr6774,,,,
Yea,Yea,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Nay,Not Voting,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Nay,,Yea,Nay,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,1926-04-26,0,,unknown,hr6774,,,,
Yea,Not Voting,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,1926-04-27,0,,unknown,hr6776,,,,
Not Voting,Yea,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Nay,Yea,,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Nay,,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,1926-04-27,0,,unknown,hr6775,,,,
Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Nay,Not Voting,,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,,Nay,,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,1926-04-27,0,,unknown,hr6772,,,,
Yea,Not Voting,Yea,Nay,Nay,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Nay,Not Voting,,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,,Nay,,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Nay,,Yea,Nay,Not Voting,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,1926-04-28,0,,unknown,hr6777,,,,
Nay,Not Voting,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,,Not Voting,Yea,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Yea,Yea,Yea,Nay,Yea,Yea,1926-04-30,0,,unknown,s4106,,,,
Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,,Not Voting,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Nay,Not Voting,,Yea,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,1926-05-04,0,,unknown,hr6559,,,,
Nay,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Not Voting,Nay,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,1926-05-05,0,,unknown,,,,,
Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,,Not Voting,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,1926-05-05,0,,unknown,,,,,
Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,1926-05-05,0,,unknown,,,,,
Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Nay,Not Voting,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Yea,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,1926-05-06,0,,unknown,s2858,,,,
Nay,Not Voting,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,,Nay,,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,1926-05-10,0,,unknown,hr9463,,,,
Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,1926-05-11,0,,unknown,hr9463,,,,
Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,,Nay,Nay,Not Voting,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,1926-05-11,0,,unknown,hr9463,,,,
Not Voting,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,1926-05-11,0,,unknown,hr9463,,,,
Not Voting,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Yea,,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Nay,Nay,Not Voting,,Nay,Yea,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,1926-05-11,0,,unknown,hr9463,,,,
Yea,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Nay,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,,Yea,,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,1926-05-11,0,,unknown,hr9463,,,,
Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,,Not Voting,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,1926-05-13,0,,unknown,hr2,,,,
